# Phase 27 deterministic intake corpus.
# Generated by .planning/scripts/f27-build-intake-corpus.py — do not hand-edit.
# VISION_MIN_BYTES=16 VISION_MAX_BYTES=20971520
# SENTINEL=F27INTAKESENTINEL
name	bytes	sha256
boundary-at-vision-min.png	16	d9c9bcbbba3f78d5acb0e0223861c44f79e918c161d4ea7b571f5cc6df50797f
boundary-under-vision-min.png	15	5062605292f17d83d57934266daf54d7e63eaeaee1236b6f84ea9280d0230266
empty.docx	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
empty.pdf	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
empty.png	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
mismatch-jpeg-body-png-ext.png	35	7cbdc2bf750dc2dce0175ba2be0bc4c800cee281d5bc43530a56057a15c68100
mismatch-not-a-container.docx	74	ca44d5b9dbb2ed5e876a032b089cdd7c884ff5b8d2421c2cee70441ef65b42b6
mismatch-not-a-pdf.pdf	91	632fa842103e716ea2f067ded10457d45e7bf9d9df4b785bc04ee3460f229289
mismatch-png-body-jpg-ext.jpg	74	70b92273ec7921554dcd15db74c997921adb3da3f4bbddcb4cefb0c9ae9e346c
noext-png-body	74	70b92273ec7921554dcd15db74c997921adb3da3f4bbddcb4cefb0c9ae9e346c
truncated-header.pdf	4	315d429b7714cedb6ad04ac31240145257692630457f3c88253c5beceac76027
truncated-header.png	6	823ceb99fcef5252333ede1b2202341c3b287b6d47571963e6b0ddf393a24f82
valid-doc.docx	523	bac2996b6cb737cd06c2415235960f349a359f0269f825903c4d0970b1ab053d
valid-doc.pdf	592	e3e9fbbd547efbba624c840abbb7851862550599c167fc2e1ea984a9329a5fe1
valid-doc.pptx	538	d7a489fbd7bcc1bf758229c35898b590715022f1cd47052d91f609281396c5ce
valid-doc.xlsx	519	86a4d6fd39e71bea7d2ed47cc6b08e11ee93b96c1053bd7089088a555129ba88
valid-image.jpg	35	7cbdc2bf750dc2dce0175ba2be0bc4c800cee281d5bc43530a56057a15c68100
valid-image.png	74	70b92273ec7921554dcd15db74c997921adb3da3f4bbddcb4cefb0c9ae9e346c
